"","figureFlag","meanratio","medianRatio","n"
"1","0-9",0.144767704690633,0.0728980513682232,480
"2","10-19",0.086321625655928,0.058566381593924,725
"3","20-29",0.0679963271426731,0.0490864307868128,4589
"4","30-39",0.0583279860273725,0.0455343439275889,18033
"5","40-49",0.0546386460813387,0.0444394510470469,39071
"6","50-59",0.0554826405915158,0.0450220984796787,62941
"7","60-69",0.0537820991784678,0.0417353140367433,100337
"8","70-79",0.0561068021073476,0.0425426243405272,126145
"9","80-89",0.0642014162014487,0.0483725166387393,94736
"10","90-99",0.0743913075819228,0.0541978998227867,27567
"11","Rh=H",0.544488022702007,0.308237972126442,518
