,RiverType,std,min,5%,10%,15%,25%,50%,75%,85%,90%,95%,max,prior
0,1,1.446820524,0.732367894,1.627714731,2.027267018,2.43557603,2.927822412,3.723280881,4.535283915,5.150792406,5.744281147,6.592711677,7.640123173,logA0
1,10,1.359096608,3.106826321,4.045316204,4.376622715,4.693721972,5.279386927,6.446836611,7.343579072,7.743619691,7.874371492,8.173641366,8.793308627,logA0
2,11,1.245863462,3.874321138,4.063218741,4.582413068,4.706908459,5.065618512,6.527953643,7.118801794,7.409873906,7.718833621,8.139949251,8.776475789,logA0
3,12,1.287297345,2.694627181,4.203662669,5.065580831,5.358883486,5.928587263,6.873163834,7.729674949,7.918438014,8.040763825,8.289026216,9.014325488,logA0
4,13,1.109424148,3.696351469,5.55624353,5.754489698,5.924519603,6.283172507,7.13630945,8.09320236,8.295079002,8.363106893,8.585211456,9.417354541,logA0
5,14,1.144803558,3.593194204,5.688828434,6.23362487,6.570587951,6.86960436,7.996317232,8.413931966,8.590443653,8.767821372,9.178526329,9.61580548,logA0
6,15,1.454662355,4.043928076,5.928895938,6.877612643,7.379195996,8.028139206,8.743785303,9.741223668,10.09374507,10.29533128,10.48217535,11.00209984,logA0
7,16,2.233590129,0.262364264,1.942398159,2.353262106,2.858184511,3.202746443,4.428426599,6.439542776,7.580665443,8.200312019,8.994142514,11.12726298,logA0
8,2,1.350055707,1.508511994,2.437710905,2.993559743,3.188620678,3.619996672,4.497073804,5.477467796,5.888308589,6.546250613,7.007838922,7.355641103,logA0
9,3,1.365242448,0.91027266,2.643581022,3.160848249,3.741866389,4.059906159,4.736198448,5.81610036,6.279845748,6.528803678,6.800543165,8.997147152,logA0
10,4,1.258756782,2.517696473,2.944438979,3.561046083,3.678829118,4.172847624,4.990432587,5.648974238,6.221583712,6.533788838,6.782192056,9.164296433,logA0
11,5,1.302566576,1.199964783,2.862725217,3.325122129,3.830152061,4.191559249,4.844063071,5.757966009,6.234709447,6.663573555,6.912893281,8.554488976,logA0
12,6,1.311046184,2.681021529,3.692086845,3.929870924,4.158397543,4.504924596,5.369441357,6.188632884,6.687309381,7.290246944,7.882304158,9.417354541,logA0
13,7,1.190542029,2.148850993,3.890215272,4.232141165,4.314819965,4.840027959,5.422742508,6.629997003,7.081275131,7.369593621,7.461640392,7.677863501,logA0
14,8,1.337220271,1.545432582,3.46067656,4.024067362,4.450796283,4.878999623,5.523458921,6.580817045,7.001104884,7.357747525,7.800850866,8.144679183,logA0
15,9,1.21047899,2.415913778,3.613981618,4.22135159,4.37183786,4.770684624,5.774532256,6.632391169,7.012789453,7.121831205,7.288859014,7.863266724,logA0
16,Big,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1.029408933,-5.678333858,-4.920221257,-4.683976916,-4.479762118,-3.801063142,-2.985277801,-2.361875469,-2.167924615,-1.989990068,-1.830108881,-1.500240929,logn
18,10,1.194241604,-6.064509006,-5.694186261,-5.383034006,-5.081578616,-4.635510171,-3.401877538,-2.892889569,-2.493220277,-2.262542068,-1.841018159,-1.349783005,logn
19,11,1.225854067,-6.029056118,-5.682910944,-5.431251802,-5.00764792,-4.048692127,-3.278677422,-2.678609135,-2.149167066,-1.991304979,-1.661849132,-1.190853565,logn
20,12,1.167193097,-5.727693507,-5.346556422,-5.156467521,-4.962108136,-4.272578126,-3.372948626,-2.640957234,-2.385450919,-2.194641895,-1.70431891,-0.451963713,logn
21,13,1.152000583,-5.685419926,-5.389218812,-5.140208285,-5.006463846,-4.568184095,-3.395070774,-2.831072287,-2.54673224,-2.420144515,-1.911223017,-0.554602291,logn
22,14,1.285632655,-6.211213087,-5.340902761,-5.14347574,-5.027139992,-4.465945228,-3.30626809,-2.639680932,-2.159294121,-1.822886392,-1.416284732,-0.428926378,logn
23,15,1.343539617,-6.06854241,-5.257206794,-4.987809342,-4.745498454,-4.44700471,-3.455433411,-2.75400099,-1.826816898,-1.358529946,-0.783287776,-0.49405436,logn
24,16,1.102026911,-6.246537799,-5.466106527,-4.69095612,-4.345228025,-3.839318071,-3.318541261,-2.628057868,-2.15550478,-1.773061712,-1.537784655,-0.638653698,logn
25,2,1.004209047,-5.467593416,-4.975407276,-4.828053618,-4.38102352,-3.758495475,-3.218074003,-2.658895798,-2.369530479,-2.131349558,-1.726834525,-1.024617813,logn
26,3,1.047755392,-5.67856698,-5.125550458,-4.908184503,-4.663795363,-3.46641822,-3.085265829,-2.739057854,-2.330151778,-2.049479235,-1.837344493,-0.469297566,logn
27,4,1.055423371,-5.768715685,-5.349584626,-5.092047523,-4.674394552,-3.931940979,-3.316850463,-2.873128336,-2.476632634,-2.070039642,-1.631059783,-1.330691863,logn
28,5,1.091631839,-5.682940688,-5.360007274,-5.171854144,-4.810114599,-4.054397353,-3.318215717,-2.819602175,-2.333554942,-2.10710444,-1.708459351,-1.17053266,logn
29,6,1.059532393,-5.841321589,-5.154461846,-4.782495819,-4.473868206,-3.594468368,-3.143583451,-2.455705304,-2.062955435,-1.805787794,-1.461834807,-1.181653683,logn
30,7,1.205687421,-5.56434293,-5.378968724,-5.201003108,-4.916909042,-4.56786654,-3.456243594,-2.770559661,-2.344705906,-1.930800658,-1.200288868,-0.819808414,logn
31,8,1.229666517,-5.957755533,-5.615629425,-5.420793921,-5.333799605,-4.512314483,-3.545592423,-2.69921896,-2.362055283,-2.237687142,-1.714107923,-1.085062606,logn
32,9,1.101795647,-5.646550723,-5.163786739,-5.047172564,-4.752409227,-3.960461041,-3.240085716,-2.671854045,-2.340028057,-2.038060195,-1.834813346,-0.540120016,logn
