k20_1_day,depth_ft,velocity_fps,slope_10_x_4,width_ft,type,study
2.272,3.27,3.07,10.8502,229,river,Churchill_etal_1962
1.44,5.09,3.69,8.6426,242,river,Churchill_etal_1962
0.981,4.42,2.1,2.7058,34,river,Churchill_etal_1962
0.496,6.14,2.68,2.9014,358,river,Churchill_etal_1962
0.743,5.66,2.78,3.697,376,river,Churchill_etal_1962
1.129,7.17,2.64,1.6448,313,river,Churchill_etal_1962
0.281,11.41,2.92,1.7994,312,river,Churchill_etal_1962
3.361,2.12,2.47,14.2342,617,river,Churchill_etal_1962
2.794,2.93,3.44,14.5225,635,river,Churchill_etal_1962
1.568,4.54,4.65,13.9099,667,river,Churchill_etal_1962
0.455,9.5,2.94,1.6893,374,river,Churchill_etal_1962
0.389,6.29,2.51,2.9038,414,river,Churchill_etal_1962
0.27,7.52,3.15,3.0443,443,river,Churchill_etal_1962
0.55,7.07,3.3,3.7775,450,river,Churchill_etal_1962
0.544,5.44,3.11,5.9961,330,river,Churchill_etal_1962
0.604,8.06,4.28,5.7667,346,river,Churchill_etal_1962
1.251,3.88,2.73,6.0706,90,river,Churchill_etal_1962
0.273,9.28,2.41,1.2571,537,river,Churchill_etal_1962
0.225,10.19,3.06,1.7789,549,river,Churchill_etal_1962
1.881,3.29,2.4,15.5378,520,river,Churchill_etal_1962
0.842,4.74,3.46,13.5458,535,river,Churchill_etal_1962
0.883,5.72,4.02,11.7032,542,river,Churchill_etal_1962
0.915,6.95,4.52,10.1594,550,river,Churchill_etal_1962
0.995,4.29,1.85,3.9709,517,river,Churchill_etal_1962
0.547,6.01,2.75,3.7523,531,river,Churchill_etal_1962
0.881,7.16,3.23,3.6794,539,river,Churchill_etal_1962
0.252,8.49,3.71,3.643,548,river,Churchill_etal_1962
5.558,3.42,5,23.5142,182,river,Churchill_etal_1962
1.712,3.02,3.05,17.4603,124,river,Churchill_etal_1962
3.222,2.83,3.51,18.869,114,river,Churchill_etal_1962
2.35,1.21,0.14,3.94,28.7,river,Owens_etal_1964
2.06,1.15,0.14,3.94,25.8,river,Owens_etal_1964
3.2,1.09,0.13,3.94,27.3,river,Owens_etal_1964
2.37,1.5,0.37,3.94,27.7,river,Owens_etal_1964
4.57,1.08,0.16,4.24,28.1,river,Owens_etal_1964
2.09,0.98,0.15,4.24,28.2,river,Owens_etal_1964
1.18,1.12,0.13,4.24,26.6,river,Owens_etal_1964
3.18,1.46,0.38,4.24,27.8,river,Owens_etal_1964
6.18,1.31,0.47,11.65,25,river,Owens_etal_1964
0.9,2.44,0.23,8.95,17.9,river,Owens_etal_1964
1.66,2.03,0.22,4.08,22.5,river,Owens_etal_1964
0.75,1.74,0.28,2.69,22.5,river,Owens_etal_1964
2.12,1.47,0.37,8.72,20.1,river,Owens_etal_1964
1.41,1.82,0.5,1.56,39.8,river,Owens_etal_1964
0.31,2.41,0.43,1.56,34.9,river,Owens_etal_1964
31.8,0.72,1.37,106,21.9,river,Owens_etal_1964
24.53,0.87,1.19,84,20.9,river,Owens_etal_1964
24.57,0.85,1.07,61,23.7,river,Owens_etal_1964
25.59,0.4,0.44,92,15.3,river,Owens_etal_1964
28.34,0.4,0.56,61.5,12.1,river,Owens_etal_1964
22.8,0.39,0.63,60.5,11,river,Owens_etal_1964
49.17,0.6,1.83,92,16.1,river,Owens_etal_1964
30.77,0.69,1.81,61.5,14.2,river,Owens_etal_1964
18.46,1,1.54,60.5,11.5,river,Owens_etal_1964
21.05,0.82,1.07,101.6,21.8,river,Owens_etal_1964
16.06,0.78,1.27,83,19.3,river,Owens_etal_1964
12.04,0.64,0.46,61.2,17.3,river,Owens_etal_1964
20.32,0.48,0.6,65.7,17.7,river,Owens_etal_1964
18.9,0.72,1.16,61.2,20.7,river,Owens_etal_1964
20.25,0.66,1.31,65.7,20,river,Owens_etal_1964
17.09,0.67,1.3,65.7,19.9,river,Owens_etal_1964
19.16,0.69,1.25,65.7,20,river,Owens_etal_1964
