River,latitude,longitude,Data
SacramentoUpstream,39.1001223,-121.925606,River (Durand et al. 2016)
SacramentoDownstream,38.8962118,-121.7896652,River (Durand et al. 2016)
Grant Line Canal,37.82021,-121.45522,River (Frasson et al. 2021)
Middle River,37.8491,-121.37788,River (Frasson et al. 2021)
San Joaquin 2,37.76,-121.308,River (Frasson et al. 2021)
Stanislaus River,37.66269,-121.23363,River (Frasson et al. 2021)
San Joaquin,37.60889,-121.17212,River (Frasson et al. 2021)
Merced River,37.3618,-120.94124,River (Frasson et al. 2021)
Mariposa Bypass,37.20172,-120.73277,River (Frasson et al. 2021)
Fresno River,37.0756,-120.56143,River (Frasson et al. 2021)
Tuolumne River,37.66654,-120.47743,River (Frasson et al. 2021)
Chowchilla Canal,36.91028,-120.33458,River (Frasson et al. 2021)
AshSlough,37.12686,-120.2724,River (Frasson et al. 2021)
Berenda Slough,37.1267,-120.19401,River (Frasson et al. 2021)
Platte,41.0515387,-99.403423,River (Durand et al. 2016)
Missouri upstream,40.798,-95.841,River (Frasson et al. 2021)
Missouri midsection,40.425,-95.659,River (Frasson et al. 2021)
Missouri downstream,40.121,-95.399,River (Frasson et al. 2021)
Iowa River,41.63020556,-91.53268611,River (Frasson et al. 2021)
MississippiUpstream,38.2243596,-89.9596704,River (Durand et al. 2016)
Mississippi Intermediate,37.86268056,-89.757675,River (Frasson et al. 2021)
MississippiDownstream,37.2042462,-89.3381898,River (Durand et al. 2016)
Ohio 8,37.184,-88.808,River (Frasson et al. 2021)
Ohio 7,37.412,-88.431,River (Frasson et al. 2021)
Wabash,39.2234915,-87.5367785,River (Durand et al. 2016)
Ohio 5,37.864,-87.041,River (Frasson et al. 2021)
Ohio 4,37.913,-86.588,River (Frasson et al. 2021)
Cumberland,36.5001587,-86.16771,River (Durand et al. 2016)
Ohio 3,38.12,-85.882,River (Frasson et al. 2021)
Ohio 2,38.688,-85.165,River (Frasson et al. 2021)
Ohio,38.8461689,-85.0552998,River (Durand et al. 2016)
Ohio 1,39.081363,-84.635563,River (Frasson et al. 2021)
co2_sampling_site,38.955407,-84.290974,CO2 (Beaulieu et al. 2012)
Olentangy,40.07582778,-83.11028889,River (Frasson et al. 2021)
Kanawha,38.4367539,-81.8827724,River (Durand et al. 2016)
Connecticut,41.9122826,-72.681807,River (Durand et al. 2016)
Severn,52.0202033,-2.3853389,River (Durand et al. 2016)
GaronneUpstream,44.0275132,1.1158249,River (Durand et al. 2016)
GaronneDownstream,43.6769415,1.3067124,River (Durand et al. 2016)
Seine,48.9,2,River (Durand et al. 2016)
Seine Downstream,48.921,2.217,River (Frasson et al. 2021)
Seine Upstream,48.63822222,2.451205556,River (Frasson et al. 2021)
Po,44.9563187,10.3496143,River (Durand et al. 2016)
Ganges,25.0215139,86.8331147,River (Durand et al. 2016)
Jamuna,25.47080278,89.71401389,River (Frasson et al. 2021)
Padma,23.60613056,90.02571389,River (Frasson et al. 2021)
Brahmaputra,26.211,90.575,River (Frasson et al. 2021)
Kushiyara,24.71022778,91.97541389,River (Frasson et al. 2021)
